date,method,t_df,ewma_sigma
2025-11-12,Parametric (t + EWMA),7.3882,0.0082
2025-11-12,Monte Carlo (Student-t),4.9903,
2025-11-13,Parametric (t + EWMA),7.3812,0.008
2025-11-13,Monte Carlo (Student-t),4.9891,
2025-11-14,Parametric (t + EWMA),7.4126,0.0086
2025-11-14,Monte Carlo (Student-t),4.9914,
2025-11-17,Parametric (t + EWMA),7.4153,0.0084
2025-11-17,Monte Carlo (Student-t),4.9919,
2025-11-18,Parametric (t + EWMA),7.4283,0.0083
2025-11-18,Monte Carlo (Student-t),4.9925,
2025-11-19,Parametric (t + EWMA),7.4518,0.0085
2025-11-19,Monte Carlo (Student-t),4.9943,
2025-11-20,Parametric (t + EWMA),7.4458,0.0083
2025-11-20,Monte Carlo (Student-t),4.9933,
2025-11-21,Parametric (t + EWMA),7.4714,0.0087
2025-11-21,Monte Carlo (Student-t),4.9948,
2025-11-24,Parametric (t + EWMA),7.4892,0.0087
2025-11-24,Monte Carlo (Student-t),4.9977,
2025-11-25,Parametric (t + EWMA),7.5147,0.0093
2025-11-25,Monte Carlo (Student-t),5.0007,
2025-11-26,Parametric (t + EWMA),7.5154,0.0092
2025-11-26,Monte Carlo (Student-t),5.0005,
2025-11-28,Parametric (t + EWMA),7.5107,0.0091
2025-11-28,Monte Carlo (Student-t),4.9997,
2025-12-01,Parametric (t + EWMA),7.5182,0.0089
2025-12-01,Monte Carlo (Student-t),5.0019,
2025-12-02,Parametric (t + EWMA),7.515,0.0087
2025-12-02,Monte Carlo (Student-t),5.0009,
2025-12-03,Parametric (t + EWMA),7.5074,0.0084
2025-12-03,Monte Carlo (Student-t),4.9998,
2025-12-04,Parametric (t + EWMA),7.5003,0.0082
2025-12-04,Monte Carlo (Student-t),4.9987,
2025-12-05,Parametric (t + EWMA),7.4695,0.008
2025-12-05,Monte Carlo (Student-t),4.9965,
2025-12-08,Parametric (t + EWMA),7.4424,0.0078
2025-12-08,Monte Carlo (Student-t),4.9911,
2025-12-09,Parametric (t + EWMA),7.4448,0.0076
2025-12-09,Monte Carlo (Student-t),4.9909,
2025-12-10,Parametric (t + EWMA),7.4381,0.0074
2025-12-10,Monte Carlo (Student-t),4.9897,
2025-12-11,Parametric (t + EWMA),7.4329,0.0072
2025-12-11,Monte Carlo (Student-t),4.9887,
2025-12-12,Parametric (t + EWMA),7.4251,0.007
2025-12-12,Monte Carlo (Student-t),4.9881,
2025-12-15,Parametric (t + EWMA),7.4411,0.0071
2025-12-15,Monte Carlo (Student-t),4.99,
2025-12-16,Parametric (t + EWMA),7.4277,0.0069
2025-12-16,Monte Carlo (Student-t),4.9889,
2025-12-17,Parametric (t + EWMA),7.4217,0.0067
2025-12-17,Monte Carlo (Student-t),4.9878,
2025-12-18,Parametric (t + EWMA),7.4492,0.007
2025-12-18,Monte Carlo (Student-t),4.9886,
2025-12-19,Parametric (t + EWMA),7.4542,0.0071
2025-12-19,Monte Carlo (Student-t),4.9882,
2025-12-22,Parametric (t + EWMA),7.4325,0.0072
2025-12-22,Monte Carlo (Student-t),4.9847,
2025-12-23,Parametric (t + EWMA),7.4351,0.0071
2025-12-23,Monte Carlo (Student-t),4.9849,
2025-12-24,Parametric (t + EWMA),7.4325,0.007
2025-12-24,Monte Carlo (Student-t),4.9841,
2025-12-26,Parametric (t + EWMA),7.431,0.0068
2025-12-26,Monte Carlo (Student-t),4.9838,
2025-12-29,Parametric (t + EWMA),7.4215,0.0066
2025-12-29,Monte Carlo (Student-t),4.9777,
2025-12-30,Parametric (t + EWMA),7.3914,0.0065
2025-12-30,Monte Carlo (Student-t),4.9731,
2025-12-31,Parametric (t + EWMA),7.3849,0.0063
2025-12-31,Monte Carlo (Student-t),4.972,
